variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi4_w128,3,50,-6.435087116453797,,,,2.9345258630887425,46.63,46.63,1.0,4
phi4_w128,3,100,-2.5514422951079907,,,,2.938464313137288,24.52,24.52,1.0,4
phi4_w128,4,4,-314.26369436860085,,,,11.234616041183472,,1024.0,0.0,4
phi4_w128,4,8,-308.31725186906755,,,,14.316329338550567,477.0,936.48,0.16,4
phi4_w128,4,16,-91.83739651525393,,,,3.51271968126297,337.29787234042556,378.5,0.94,4
phi4_w128,4,32,-19.407574767391196,,,,2.996498050689697,108.28,108.28,1.0,4
phi4_w128,4,50,-8.192250124942511,,,,2.9077667784690857,58.54,58.54,1.0,4
phi4_w128,4,100,-2.6266692680306734,,,,3.057555978298187,23.95,23.95,1.0,4
phi4_w128,5,4,-349.29248335793613,,,,11.21771420955658,,1024.0,0.0,4
phi4_w128,5,8,-355.0445566356741,,,,16.02460419178009,554.3333333333334,953.55,0.15,4
phi4_w128,5,16,-159.66092682180926,,,,6.228262774944305,407.47222222222223,580.1,0.72,4
phi4_w128,5,32,-40.972370383152736,,,,3.092403211593628,201.57,201.57,1.0,4
phi4_w128,5,50,-16.20644895204343,,,,2.9450962781906127,99.07,99.07,1.0,4
phi4_w128,5,100,-5.182939196452498,,,,2.95970312833786,45.87,45.87,1.0,4
phi4_w32,1,4,-231.9888330509886,,,,6.406344652175903,,1024.0,0.0,4
phi4_w32,1,8,-268.96434201981873,,,,10.61805443763733,493.43589743589746,817.08,0.39,4
phi4_w32,1,16,-71.09906533513218,,,,3.2781453585624694,278.83673469387753,293.74,0.98,4
phi4_w32,1,32,-22.164433451162186,,,,3.03652361869812,118.3,118.3,1.0,4
phi4_w32,1,50,-7.379454745370895,,,,2.842026674747467,51.02,51.02,1.0,4
phi4_w32,1,100,-2.7095701642148198,,,,2.772021682262421,25.73,25.73,1.0,4
phi4_w32,2,4,-527.6958947496116,,,,25.261454887390137,,1024.0,0.0,4
phi4_w32,2,8,-403.62720423437656,,,,19.391856055259705,,1024.0,0.0,4
phi4_w32,2,16,-293.71943440610545,,,,14.420361053943633,554.6666666666666,1009.92,0.03,4
phi4_w32,2,32,-151.49123617436737,,,,7.20622067451477,386.08,705.04,0.5,4
phi4_w32,2,50,-65.62118688348681,,,,3.7574492931365966,329.7956989247312,378.39,0.93,4
phi4_w32,2,100,-7.932952561322599,,,,3.028896768093109,65.28,65.28,1.0,4
phi4_w32,3,4,-121.48778016925324,,,,2.8764469814300537,250.23232323232324,257.97,0.99,4
phi4_w32,3,8,-47.84160970032215,,,,2.524450297355652,173.0,173.0,1.0,4
phi4_w32,3,16,-86.60146248545497,,,,2.9792151045799256,,1024.0,0.0,4
phi4_w32,3,32,-83.31731251424179,,,,3.3052724828623763,21.0,983.88,0.04,4
phi4_w32,3,50,-74.10014934098348,,,,3.438060100078583,33.6,875.44,0.15,4
phi4_w32,3,100,-38.82296055654995,,,,3.31758859872818,24.821428571428573,464.46,0.56,4
phi4_w32,4,4,-271.2872195582837,,,,8.505344614982604,,1024.0,0.0,4
phi4_w32,4,8,-326.1977215819992,,,,14.470883543491363,599.9230769230769,968.87,0.13,4
phi4_w32,4,16,-105.3240506749507,,,,3.8629514002799987,349.0978260869565,403.09,0.92,4
phi4_w32,4,32,-28.77948280222714,,,,3.020459747314453,147.31,147.31,1.0,4
phi4_w32,4,50,-10.40731508440338,,,,3.0619983673095703,69.19,69.19,1.0,4
phi4_w32,4,100,-3.2080246587470174,,,,2.938226625919342,29.8,29.8,1.0,4
phi4_w32,5,4,-253.21404578056186,,,,8.074978981018067,,1024.0,0.0,4
phi4_w32,5,8,-259.9614967197273,,,,11.434535365104676,496.88235294117646,844.78,0.34,4
phi4_w32,5,16,-62.55664995389059,,,,3.196962652206421,269.6734693877551,284.76,0.98,4
phi4_w32,5,32,-15.550417314968072,,,,2.934967179298401,93.95,93.95,1.0,4
phi4_w32,5,50,-6.12961754639633,,,,2.943932337760925,45.44,45.44,1.0,4
phi4_w32,5,100,-2.470356623502448,,,,2.912199393667356,23.6,23.6,1.0,4
phi4_w64,1,4,-492.2679729550332,,,,19.80293698310852,,1024.0,0.0,4
phi4_w64,1,8,-366.47509225673974,,,,15.627344579696656,,1024.0,0.0,4
phi4_w64,1,16,-277.5132891841978,,,,11.712323203086854,,1024.0,0.0,4
phi4_w64,1,32,-211.3918573962152,,,,9.22359307527542,595.0,1006.84,0.04,4
phi4_w64,1,50,-150.5967508202605,,,,6.9063743567466735,440.92857142857144,860.74,0.28,4
phi4_w64,1,100,-36.30214009373449,,,,3.293982573229857,248.64583333333334,279.66,0.96,4
phi4_w64,2,4,-302.0124664000422,,,,11.555458374023438,,1024.0,0.0,4
phi4_w64,2,8,-292.03625790204853,,,,12.759747805595397,550.85,929.37,0.2,4
phi4_w64,2,16,-80.90423479093239,,,,3.0269551706314086,332.5612244897959,346.39,0.98,4
phi4_w64,2,32,-21.95543686038116,,,,3.0000403553548485,126.11,126.11,1.0,4
phi4_w64,2,50,-8.451018553501926,,,,2.9530417561531066,59.27,59.27,1.0,4
phi4_w64,2,100,-2.4805498765688387,,,,2.8989352120293512,24.21,24.21,1.0,4
phi4_w64,3,4,-351.11501724623145,,,,9.04004608631134,,1024.0,0.0,4
phi4_w64,3,8,-403.00914093565194,,,,20.13163526535034,503.77777777777777,977.18,0.09,4
phi4_w64,3,16,-176.2335464517679,,,,6.463537287712097,455.19736842105266,591.71,0.76,4
phi4_w64,3,32,-24.77011322314851,,,,3.079306619167328,115.51515151515152,124.6,0.99,4
phi4_w64,3,50,-8.268007173640653,,,,2.9250709215799966,56.08,56.08,1.0,4
phi4_w64,3,100,-2.2441262940363957,,,,2.901063288961138,22.27,22.27,1.0,4
phi4_w64,4,4,-238.3423986172676,,,,6.504978485107422,,1024.0,0.0,4
phi4_w64,4,8,-285.4494953942485,,,,13.059842476844787,413.0,975.12,0.08,4
phi4_w64,4,16,-84.1388014994841,,,,3.590079309940338,360.0537634408602,406.53,0.93,4
phi4_w64,4,32,-13.581289398916997,,,,2.9899377059936523,80.92,80.92,1.0,4
phi4_w64,4,50,-7.0284058677079155,,,,2.9919444274902345,50.61,50.61,1.0,4
phi4_w64,4,100,-2.291012137271464,,,,2.9873289394378664,22.0,22.0,1.0,4
phi4_w64,5,4,-486.21183054603637,,,,25.155181531906127,,1024.0,0.0,4
phi4_w64,5,8,-365.4357249749266,,,,16.56748491048813,674.9,989.09,0.1,4
phi4_w64,5,16,-191.17409757282584,,,,7.614906215667725,426.94444444444446,701.59,0.54,4
phi4_w64,5,32,-38.954503043880685,,,,3.017194743156433,195.29,195.29,1.0,4
phi4_w64,5,50,-11.845849333126099,,,,2.9811868834495545,77.96,77.96,1.0,4
phi4_w64,5,100,-3.7705831166531425,,,,2.8528868070582756,32.62,32.62,1.0,4
phi1_w128,1,4,-608.6839468546957,,,,30.00824866294861,,1024.0,0.0,16
phi1_w128,1,8,-434.4651475107297,,,,22.206182460784913,,1024.0,0.0,16
phi1_w128,1,16,-265.52631765211004,,,,11.792122111320495,429.875,881.41,0.24,16
phi1_w128,1,32,-56.082999664358795,,,,3.43110422372818,208.47826086956522,273.72,0.92,16
phi1_w128,1,50,-17.551534236040897,,,,2.970258934497833,96.44444444444444,105.72,0.99,16
phi1_w128,1,100,-2.436905851708725,,,,3.0151760674486257,23.04,23.04,1.0,16
phi1_w128,2,4,-527.3844205631316,,,,23.75496410369873,,1024.0,0.0,16
phi1_w128,2,8,-389.8361459504068,,,,19.070985631942747,,1024.0,0.0,16
phi1_w128,2,16,-275.38713592238724,,,,12.973855876922608,,1024.0,0.0,16
phi1_w128,2,32,-205.16941491002217,,,,10.251077280044555,390.0,1004.98,0.03,16
phi1_w128,2,50,-121.06077772079966,,,,6.209501552581787,364.0,713.8,0.47,16
phi1_w128,2,100,-17.776546903895213,,,,3.1594593135678037,136.010101010101,144.89,0.99,16
phi1_w128,3,4,-559.1045848421752,,,,28.26646086215973,,1024.0,0.0,16
phi1_w128,3,8,-345.22719601539893,,,,15.908204567432403,585.7272727272727,975.79,0.11,16
